1	USER	2273363
2	rt	971710
3	URL	892070
4	TAG	501592
5	nie	398597
6	to	387988
7	na	378758
8	się	289800
9	do	186360
10	że	169710
11	jak	169695
12	jest	159157
13	ale	114931
14	tak	112371
15	co	103387
16	ja	98634
17	po	97994
18	za	91681
19	mi	88055
20	ze	80390
21	bo	77184
22	mnie	74534
23	czy	64555
24	już	63089
25	dla	62722
26	mam	62039
27	od	61869
28	ma	59315
29	no	55148
30	sie	53868
31	tylko	50848
32	tym	50016
33	tego	48036
34	przez	42435
35	są	40325
36	jestem	38858
37	ten	37788
38	będzie	37309
39	jeszcze	36305
40	by	35732
41	może	34921
42	kurwa	33831
43	sobie	33210
44	bardzo	31462
45	xd	30752
46	teraz	29252
47	kiedy	29160
48	chce	26523
49	go	26272
50	też	25728
51	chyba	25322
52	on	24813
53	wiem	24709
54	uwu	24644
55	być	24582
56	nawet	24409
57	nic	24342
58	takie	23449
59	ktoś	22904
60	te	22849
61	coś	21777
62	było	21464
63	instagram	21336
64	dziś	21268
65	ta	21138
66	żeby	21051
67	jej	20912
68	pod	20685
69	tu	20548
70	które	20504
71	u-uwu	20493
72	film	20300
73	dzisiaj	20092
74	polski	20016
75	story	19988
76	wszystko	19846
77	gdzie	19846
78	pis	19798
79	ci	19758
80	my	19520
81	roku	19503
82	tam	19500
83	ich	19488
84	jeśli	19459
85	który	19358
86	kto	19215
87	bez	18798
88	ty	18711
89	gdy	18667
90	10	18633
91	był	18259
92	przed	18076
93	podoba	17935
94	lat	17926
95	dlaczego	17343
96	pan	17291
97	marcjacobs	16699
98	jego	16605
99	marcjacobsfragrances	16567
100	zawsze	16547
101	można	16486
102	tiffanyyoungofficial	16425
103	moje	16263
104	kocham	16117
105	mój	16066
106	jutro	16025
107	dzień	16024
108	więc	15741
109	ludzie	15702
110	nas	15654
111	tej	15390
112	mu	15385
113	shawna	15195
114	proszę	15040
115	która	14941
116	pani	14799
117	razem	14737
118	dni	14551
119	właśnie	14538
120	trzeba	14514
121	dobrze	14351
122	maja	14277
123	mają	14032
124	moja	13943
125	przy	13887
126	polska	13881
127	taki	13852
128	masz	13608
129	zł	13532
130	raz	13476
131	albo	13238
132	was	13141
133	nicki	12953
134	je	12809
135	ludzi	12650
136	osoby	12647
137	polsce	12628
138	2018	12190
139	więcej	12099
140	którzy	12066
141	osób	12034
142	mogę	11989
143	the	11951
144	naprawdę	11814
