word	tag1	tag2	tag3	old2	pattern	tf	notes
_				.	\bk(|u|ur)([*]+|[.][.]+)([aęeiy]|w[aęeiy])		# 206 k*rwa
aberracja				.	\baberr		# 14
aborcja				?	aborc[jiy]		# 1043
absurd				.	absurd		# 1635
absurd				.	absurd\w+		# 1410
agentura	p			p	\bagentur		# 466 agent=232=FP
agonia	s			s	\bagoni		# 83
agresja	a			a	agres[^t]		# 2180
alfons	x			x	alfons		# 61
alienacja				.	alien(ow|ac)		# 4
alimenty				.	alimen		# 53
alkoholik				i	alkoholik\w*		# 97
amator				i	amator		# 330
amoralny				i	amoraln		# 14
analfabeta				i	analfab		# 82
anihilacja	a			a	anihil		# 12
anormalny				i	\banormal		# 
antypolskie	p			p	antypol		# 1152
antysemita	p			p	antysemi		# 1090
aparatczyk	p			p	aparatczyk\w*		# 36
apatia				.	\bapat		# 15
areszt				.	\b(za|)areszt		# 1865
arogancki				i	arogan		# 753
atak	a			a	(\b|za)atak		# 5108
atrapa				.	\batrap		# 105
awantura	a			a	awantur\w*		# 543
awaria				.	\bawar[jiy]		# 234
babsztyl			d?	i	babszt\w+		# 52
bac				.	\bbo(j[ęe]|imy)		# TODO 4240 bałem
badziew				.	badziew\w*		# 94
bagno	o			o	bag(ie)?n		# 725
bajzel				.	bajz[e]?l\w*		# 38
balagan				.	ba[łl]agan\w*		# 766
balast				.	balast		# 17
balwan				i	ba[łl]wan		# 29
bambus			d3	i	bambus\w*		# FP
banda				.	\bband(a|y|dzie)\b		# 510
bandyta	a			a?	\bbandy[ct]		# 528
bankrut				i	bankru[tc]		# 249
bankster	p			h	bankster\w*		# 74
barachlo				i	barach[łl]		# 62
baran	z			z	baran\w*		# 388 FP
barbarzynca				i	barbarz		# 161
bat				.	\bbat(|a|em|u|y)\b		# 207
bazgroly				.	bazgr[oa]		# 39
becki				.	b[ęc]c[e]?k[i]?		# 12
becwal				i	b[ęe]cwa		# 2
bekart				i	b[ęe]kar[tc]		# 22
belkot				.	be[łl]ko[tc]		# 291
bestialski	a			a	bestial\w*		# 111
besztac				.	beszt		# 5
bezbronny				.	bezbron		# 55
bezcelowy				.	bezcel		# 6
bezczelny				.	bezczel		# 605
bezczescic				.	bezcze[śs]		# 31
bezczynny				.	bezczyn		# 239
bezdenny				.	bezd[e]?n		# 16
bezdomny				.	bezdom		# 125
bezduszny				i	bezdusz		# 24
bezkarny				.	bezkar		# 357
bezmiar				.	bezmiar		# 44
bezmozg				.	bezm[óo]zg\w*		# 75
bezmyslny				i	bezmy[śs]ln		# 84
beznadzieja				.	beznadz\w+		# 791
bezprawie				.	bezpraw		# 368
bezradny				.	bezrad		# 84
bezrobotny				.	bezrobo		# 181
bezsensowny				.	bezsens		# 379
bezsilny				.	bezsil		# 97
beztalencie				.	beztalen		# 12
bezwartosciowy				.	bezwarto		# 110
biadolic				.	\bbiado		# 60
bieda				.	bied[ayno]		# 2881
bierny				.	biern		# 472
biurokracja	p			p	biurokra[tc]		# 57
biurwa	p		w2	p	biurw\w*		# 2
blad				.	\bbł[ąę]d		# 2467
blad				.	b[łl][ąaęe]d		# błędnik
blazen				i	b[łl]a[zź][e]?n		# 147
blizna	o			o?	blizn		# 386
bluzgac				.	bluzg		# 78
bojka	a			a	b[óo]j(k(?!ot)|ek)		# 32
bojkot	p			p	bojkot\w*		# 513
bolszewia	h			h	bolszew\w*		# 791
bomba	a			a	bomb(?!el|oni)		# 1180
brak				.	brak		# 9193
brednie				.	\bbred[zn]		# 632
brodawki	o			o	brodaw[e]?k		# 0
brud	o			o	brud(\b|[neo]\w*)		# 1041
brutalny	a			a	brutaln		# 259
brzydki				i	brzyd\w*		# 7237 +obrzyd +brzydzic
bufon				i	bufon		# 30
bunt	a			a?	(\b|z)bunt		# 343
burak				i	bura\w+		# 397
burda				.	burd([ayę]|\b)		# 50
burza				.	burz		# 5491
bydlo	z			z	byd[łl]\w+		# 843
bylejak				.	bylejak		# 23
bzdura				.	bzdu\w+		# 962
bzdury				.	bzdur\w+		# 808
cebula				.	cebul		# 345
cenzura	p			p	cenz[uo]r		# 2339
chala				.	\bcha[łl]a		# 41
cham				i	\bcham[^p]\w+		# 2750
chaos				.	chao[st]		# 310
cherlawy				i	herlaw		# 3
chlac				.	\w*hlej|hla[cć]\w*		# 103
cholera	o			o?	choler		# 4123
chory				.	chor[zaeouy]\w*		# 6087 choreo
chrzanic				.	chrzani		# 317
chuj	x		w3	X	chuj(\w|\b)|\bch[*.][*.]		# 11307 chujek->2
chuligan	a			a?	chulig		# 47
chwast				.	hwast		# 58
ciamajda				.	ciamajd		# 31
ciapaty			d3	i	ciapat\w+		# 22
ciemnota				.	ciemno[tg]		# 123 ciemnogrod
cierpiec				.	cierpi		# 1410
ciolek				i	\bcio[łl][e]?k		# 37
ciota	x		d3	x	\bciot\w+		# 290 ciotka ciotecz
cipa	x		w3	x	\bcip\w*		# 187
ciul				i	ciul\w*		# 193
cmentarz	s			s	cmentar		# 414
cpun				i	\b[ćc]pun\w*		# 31
cuchnie	o			o	cuchn\w+		# 75
cwaniak				i	cwania		# 491
cwel				i	cwel\w*		# 131
cycki	x			x	cyc(?![hl])		# 992
cymbal				i	cymba[łl]		# 216
cynik				i	\bcyni\w+		# 182
cynik				i	cyni(k|cz|zm)		# 181
czarnuch			d3	i	czarnuch\w*		# 10
czopek	o			o	czop[e]?k		# 39
czyhac				.	czyha		# 15
czystki	p			p	\bczyst[e]?k		# 65
daremny				.	daremn		# 40
dawn			d2	i	\bd[ao][łlw]n(a|em|ach|om|owi)\b		# 1182 TODO dawny dawno dawni dawna
debil				i	debil\w*		# 3172
defetysta				i	defety[sz]		# 16
deficyt				.	deficyt		# 100
degeneracja				.	degener\w+		# 646
dekiel				.	dek(iel|lem|la|lu|le)\b		# 96
demagog				.	demagog\w*		# 87
demaskowac				.	demask\w+		# 155
demolowac	a			a	demol		# 140 demoludy
demotywowac				.	demotyw		# 2425
denerwowac				.	denerw		# 2513
dewastowac	a			a	dewast		# 78
dezerter	p			p	dezer[tc]		# 58
dezinformacja				.	dezinfo		# 185
diabel				.	\bdiab[e]?[łl]		# 859
dluznik				i	(?<!po)d[łl]u[żz]n[iy](\b|[kc])		# 16
dno				.	\bdno\w*		# 703
dokuczac				.	dokucz		# 145
donos				.	donos\w*		# 1038 FP
donosiciel				i	donosicie		# 177
dopalacz				.	dopalacz		# 162
dramat				.	dramat		# 1127
dran				i	\bdra[ńn]		# 98
draznic				.	dra[żz]n		# 107
dreczyc				.	\b[u]?dr[ęe]cz		# 79
dupa	x		w2	x	\w*dup\w*		# 8323 dupek,dupka->1 
durny				i	dur(n\w+|e[ńn])		# durny vs duren
dusic				.	(\b|u|przy|pod|za)du(si|sz[aąeęo])		# 1962 FP dusza
duszno				.	\bduszn		# 187
dyktator	p			p	dyktat[ou]r\w*		# 
dyletant				i	dyleta		# 9
dymac	x			x	dyma[ćclł]\w*		# 123
dyskomfort				.	(nie|dys)komfort		# 75
dziad				i	dziad(|[^ek]|[^ek]\w+)\b		# 1244 dziadek dziadkowie
dziwka	x		d?	x	dziw[e]?k		# 264
dzuma	o			o	d[żz]um		# 81
egoista				i	egoi		# 105
egzekucja	a			a	egzeku		# 118 egzekutywa
ekshumacja	s			s	ekshum		# 336
elektrowstrzasy	a			a	elektrows		# 3
elyta				.	elyt\w*		# 65
embargo	p			p	embarg		# 21
endek	h			h	ende[ck]\w*		# 62 czy moze byc obrazliwe?
esbek	h			h	\besbe\w*		# 80
eunuch	x			x	eunuch		# 6
eutanazja	s			s	\beutan		# 326
facjata				.	facja\w+		# 24
falsz				.	fa[łl]sz		# 2893
fanatyk				?	\bfanat		# 126
faszyzm	h			h	faszy[sz]		# 751
fatalny				.	fataln		# 445
fejk				.	fejk\w*		# 1178
fekalia	o			o	fekal\w*		# 21
fetor	o			o	fetor		# 24
figurant	p			p	figuran[tc]		# 28
fikcja				.	fikc[y]?j		# 1514
fircyk				i	fircyk\w*		# 12
fiut	x		w2	x	fiut		# 702
flak				.	fla(k(?![oer])|cz)		# 69
folksdojcz	h		d?	h	[fv]olksd		# 147
fortel				.	fortel		# 3
frajer				i	frajer\w*		# 522
fuhrer	h			h	f[uü][h]?rer		# 87
fujara	x			x	fujar\w*		# 29
gach				i	\bgach\w*		# 45
gadula				i	\bgadu[lł]\w*		# 4
garb				.	garb\w+		# 111 garbarnia
gbur				i	gbur\w+		# 5
geba				.	g[ęe]b[eayio]\w*		# 467 spongebob
gej	x			x	\bgej([eóoia]|\b)		# 757
gestapo	h			h	gestap		# 236
getto	h			h	\bg[h]?ett(|o|a|cie|ach|om)\b		# 97
gimby				.	gimb\w+		# 280
glab				i	\bg[łl][ąa]b		# 123
glizda	z			z	glizd		# 10
gluchy				i	g[łl]uch\w+		# 410
glupi				i	g[łl]up\w+		# 7826
gnebic	a			a	gn[ęe]bi		# 88
